"Sexo","departamento",año,valor
"Varones","Montevideo",1963,573794
"Mujeres","Montevideo",1963,628963
"Varones","Artigas",1963,27081
"Mujeres","Artigas",1963,25762
"Varones","Canelones",1963,133621
"Mujeres","Canelones",1963,124574
"Varones","Cerro Largo",1963,36218
"Mujeres","Cerro Largo",1963,34805
"Varones","Colonia",1963,53835
"Mujeres","Colonia",1963,51441
"Varones","Durazno",1963,27675
"Mujeres","Durazno",1963,25960
"Varones","Flores",1963,12270
"Mujeres","Flores",1963,11535
"Varones","Florida",1963,33608
"Mujeres","Florida",1963,30379
"Varones","Lavalleja",1963,33982
"Mujeres","Lavalleja",1963,31841
"Varones","Maldonado",1963,31474
"Mujeres","Maldonado",1963,29785
"Varones","Paysandu",1963,45183
"Mujeres","Paysandu",1963,42846
"Varones","Rio Negro",1963,25263
"Mujeres","Rio Negro",1963,21598
"Varones","Rivera",1963,38301
"Mujeres","Rivera",1963,38785
"Varones","Rocha",1963,28231
"Mujeres","Rocha",1963,26866
"Varones","Salto",1963,46526
"Mujeres","Salto",1963,45657
"Varones","San José",1963,41779
"Mujeres","San José",1963,37614
"Varones","Soriano",1963,39999
"Mujeres","Soriano",1963,37876
"Varones","Tacuarembó",1963,39244
"Mujeres","Tacuarembó",1963,37720
"Varones","Treinta y Tres",1963,22302
"Mujeres","Treinta y Tres",1963,21117
"Varones","Montevideo",1975,578538
"Mujeres","Montevideo",1975,658689
"Varones","Artigas",1975,29218
"Mujeres","Artigas",1975,28729
"Varones","Canelones",1975,164865
"Mujeres","Canelones",1975,160729
"Varones","Cerro Largo",1975,37542
"Mujeres","Cerro Largo",1975,36485
"Varones","Colonia",1975,56526
"Mujeres","Colonia",1975,55250
"Varones","Durazno",1975,28726
"Mujeres","Durazno",1975,26973
"Varones","Flores",1975,12824
"Mujeres","Flores",1975,12182
"Varones","Florida",1975,34807
"Mujeres","Florida",1975,32322
"Varones","Lavalleja",1975,33382
"Mujeres","Lavalleja",1975,31798
"Varones","Maldonado",1975,38868
"Mujeres","Maldonado",1975,37343
"Varones","Paysandu",1975,50104
"Mujeres","Paysandu",1975,48404
"Varones","Rio Negro",1975,26665
"Mujeres","Rio Negro",1975,23458
"Varones","Rivera",1975,40472
"Mujeres","Rivera",1975,41571
"Varones","Rocha",1975,30765
"Mujeres","Rocha",1975,29493
"Varones","Salto",1975,51955
"Mujeres","Salto",1975,51119
"Varones","San José",1975,46242
"Mujeres","San José",1975,41561
"Varones","Soriano",1975,41321
"Mujeres","Soriano",1975,39285
"Varones","Tacuarembó",1975,43361
"Mujeres","Tacuarembó",1975,41174
"Varones","Treinta y Tres",1975,23231
"Mujeres","Treinta y Tres",1975,22452
"Varones","Montevideo",1985,610586
"Mujeres","Montevideo",1985,701390
"Varones","Artigas",1985,35399
"Mujeres","Artigas",1985,33746
"Varones","Canelones",1985,181601
"Mujeres","Canelones",1985,182647
"Varones","Cerro Largo",1985,39364
"Mujeres","Cerro Largo",1985,39052
"Varones","Colonia",1985,56383
"Mujeres","Colonia",1985,56334
"Varones","Durazno",1985,28148
"Mujeres","Durazno",1985,26929
"Varones","Flores",1985,12621
"Mujeres","Flores",1985,12118
"Varones","Florida",1985,34218
"Mujeres","Florida",1985,32256
"Varones","Lavalleja",1985,31202
"Mujeres","Lavalleja",1985,30264
"Varones","Maldonado",1985,47550
"Mujeres","Maldonado",1985,46764
"Varones","Paysandu",1985,52383
"Mujeres","Paysandu",1985,51380
"Varones","Rio Negro",1985,25541
"Mujeres","Rio Negro",1985,23103
"Varones","Rivera",1985,43907
"Mujeres","Rivera",1985,45568
"Varones","Rocha",1985,33782
"Mujeres","Rocha",1985,32819
"Varones","Salto",1985,54156
"Mujeres","Salto",1985,54331
"Varones","San José",1985,45800
"Mujeres","San José",1985,44093
"Varones","Soriano",1985,40284
"Mujeres","Soriano",1985,39155
"Varones","Tacuarembó",1985,42426
"Mujeres","Tacuarembó",1985,41072
"Varones","Treinta y Tres",1985,23670
"Mujeres","Treinta y Tres",1985,23199
"Varones","Montevideo",1996,627640
"Mujeres","Montevideo",1996,717199
"Varones","Artigas",1996,37411
"Mujeres","Artigas",1996,37648
"Varones","Canelones",1996,219248
"Mujeres","Canelones",1996,223805
"Varones","Cerro Largo",1996,40970
"Mujeres","Cerro Largo",1996,41540
"Varones","Colonia",1996,59590
"Mujeres","Colonia",1996,60651
"Varones","Durazno",1996,27889
"Mujeres","Durazno",1996,27827
"Varones","Flores",1996,12492
"Mujeres","Flores",1996,12538
"Varones","Florida",1996,33637
"Mujeres","Florida",1996,32866
"Varones","Lavalleja",1996,30615
"Mujeres","Lavalleja",1996,30470
"Varones","Maldonado",1996,63724
"Mujeres","Maldonado",1996,63778
"Varones","Paysandu",1996,55706
"Mujeres","Paysandu",1996,55803
"Varones","Rio Negro",1996,26615
"Mujeres","Rio Negro",1996,25098
"Varones","Rivera",1996,48083
"Mujeres","Rivera",1996,50389
"Varones","Rocha",1996,34886
"Mujeres","Rocha",1996,35406
"Varones","Salto",1996,57752
"Mujeres","Salto",1996,59845
"Varones","San José",1996,48516
"Mujeres","San José",1996,48148
"Varones","Soriano",1996,40632
"Mujeres","Soriano",1996,40925
"Varones","Tacuarembó",1996,42328
"Mujeres","Tacuarembó",1996,42591
"Varones","Treinta y Tres",1996,24554
"Mujeres","Treinta y Tres",1996,24948
"Varones","Montevideo",2004,618271
"Mujeres","Montevideo",2004,707697
"Varones","Artigas",2004,39082
"Mujeres","Artigas",2004,38937
"Varones","Canelones",2004,237992
"Mujeres","Canelones",2004,247248
"Varones","Cerro Largo",2004,42675
"Mujeres","Cerro Largo",2004,43889
"Varones","Colonia",2004,58631
"Mujeres","Colonia",2004,60635
"Varones","Durazno",2004,29470
"Mujeres","Durazno",2004,29389
"Varones","Flores",2004,12391
"Mujeres","Flores",2004,12713
"Varones","Florida",2004,34158
"Mujeres","Florida",2004,34023
"Varones","Lavalleja",2004,30328
"Mujeres","Lavalleja",2004,30597
"Varones","Maldonado",2004,69105
"Mujeres","Maldonado",2004,71087
"Varones","Paysandu",2004,56278
"Mujeres","Paysandu",2004,56966
"Varones","Rio Negro",2004,27679
"Mujeres","Rio Negro",2004,26310
"Varones","Rivera",2004,51491
"Mujeres","Rivera",2004,53430
"Varones","Rocha",2004,34649
"Mujeres","Rocha",2004,35288
"Varones","Salto",2004,60446
"Mujeres","Salto",2004,62674
"Varones","San José",2004,51543
"Mujeres","San José",2004,51561
"Varones","Soriano",2004,41932
"Mujeres","Soriano",2004,42631
"Varones","Tacuarembó",2004,45130
"Mujeres","Tacuarembó",2004,45359
"Varones","Treinta y Tres",2004,24282
"Mujeres","Treinta y Tres",2004,25036
"Varones","Montevideo",2011,613756
"Mujeres","Montevideo",2011,704999
"Varones","Artigas",2011,36078
"Mujeres","Artigas",2011,37299
"Varones","Canelones",2011,253111
"Mujeres","Canelones",2011,267062
"Varones","Cerro Largo",2011,41050
"Mujeres","Cerro Largo",2011,43648
"Varones","Colonia",2011,60203
"Mujeres","Colonia",2011,63000
"Varones","Durazno",2011,28212
"Mujeres","Durazno",2011,28872
"Varones","Flores",2011,12342
"Mujeres","Flores",2011,12708
"Varones","Florida",2011,32952
"Mujeres","Florida",2011,34095
"Varones","Lavalleja",2011,28793
"Mujeres","Lavalleja",2011,30022
"Varones","Maldonado",2011,80863
"Mujeres","Maldonado",2011,83435
"Varones","Paysandu",2011,55349
"Mujeres","Paysandu",2011,57758
"Varones","Rio Negro",2011,27576
"Mujeres","Rio Negro",2011,27189
"Varones","Rivera",2011,50379
"Mujeres","Rivera",2011,53094
"Varones","Rocha",2011,33269
"Mujeres","Rocha",2011,34819
"Varones","Salto",2011,61055
"Mujeres","Salto",2011,63806
"Varones","San José",2011,53993
"Mujeres","San José",2011,54311
"Varones","Soriano",2011,40852
"Mujeres","Soriano",2011,41742
"Varones","Tacuarembó",2011,44167
"Mujeres","Tacuarembó",2011,45884
"Varones","Treinta y Tres",2011,23416
"Mujeres","Treinta y Tres",2011,24718
