Ingreso,"Título","Jurisdicción","Departamento"
2024/08/29,"ASOCIADO A VD","COMISARÍA 5","COLONIA"
2024/08/13,"ASOCIADO A VD","COMISARÍA 24","MONTEVIDEO"
2024/12/02,"ASOCIADO A VD","COMISARÍA 18","MONTEVIDEO"
2024/08/28,"ASOCIADO A VD","COMISARÍA 5","COLONIA"
2024/03/23,"ASOCIADO A VD","COMISARÍA 2","ARTIGAS"
2024/11/12,"ASOCIADO A VD","COMISARÍA 30","CANELONES"
2024/10/11,"ASOCIADO A VD","COMISARÍA 1","MONTEVIDEO"
2024/01/28,"VIOLENCIA DOMÉSTICA","COMISARÍA 16","MONTEVIDEO"
2024/04/15,"VIOLENCIA DOMÉSTICA","COMISARÍA 11","ROCHA"
2024/11/18,"ASOCIADO A VD","COMISARÍA 19","MONTEVIDEO"
2024/06/26,"VIOLENCIA DOMÉSTICA","COMISARÍA 27","CANELONES"
2024/12/10,"ASOCIADO A VD","COMISARÍA 9","CANELONES"
2024/08/05,"ASOCIADO A VD","COMISARÍA 1","CANELONES"
2024/10/03,"VIOLENCIA DOMÉSTICA","COMISARÍA 9","MONTEVIDEO"
2024/03/24,"ASOCIADO A VD","COMISARÍA 2","SORIANO"
2024/03/26,"ASOCIADO A VD","COMISARÍA 14","TACUAREMBÓ"
2024/09/05,"ASOCIADO A VD","COMISARÍA 8","DURAZNO"
2024/09/25,"ASOCIADO A VD","COMISARÍA 18","MONTEVIDEO"
2024/11/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","RÍO NEGRO"
2024/03/20,"ASOCIADO A VD","COMISARÍA 6","TACUAREMBÓ"
2024/03/27,"ASOCIADO A VD","COMISARÍA 6","SAN JOSÉ"
2024/08/03,"ASOCIADO A VD","COMISARÍA 17","MONTEVIDEO"
2024/05/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","MONTEVIDEO"
2024/09/18,"VIOLENCIA DOMÉSTICA","COMISARÍA 11","ROCHA"
2024/10/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","COLONIA"
2024/02/21,"ASOCIADO A VD","COMISARÍA 24","MONTEVIDEO"
2024/02/26,"ASOCIADO A VD","COMISARÍA 5","SAN JOSÉ"
2024/06/26,"ASOCIADO A VD","COMISARÍA 12","SORIANO"
2024/05/15,"ASOCIADO A VD","COMISARÍA 7","COLONIA"
2024/06/13,"ASOCIADO A VD","COMISARÍA 9","MONTEVIDEO"
2024/07/28,"ASOCIADO A VD","COMISARÍA 5","COLONIA"
2024/11/14,"ASOCIADO A VD","COMISARÍA 3","COLONIA"
2024/04/17,"VIOLENCIA DOMÉSTICA","COMISARÍA 6","LAVALLEJA"
2024/09/06,"ASOCIADO A VD","COMISARÍA 4","FLORIDA"
2024/06/30,"VIOLENCIA DOMÉSTICA","COMISARÍA 24","MONTEVIDEO"
2024/12/04,"ASOCIADO A VD","COMISARÍA 15","COLONIA"
2024/11/15,"ASOCIADO A VD","COMISARÍA 1","LAVALLEJA"
2024/06/13,"ASOCIADO A VD","COMISARÍA 3","MONTEVIDEO"
2024/08/27,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","FLORES"
2024/04/17,"VIOLENCIA DOMÉSTICA","COMISARÍA 11","ROCHA"
2024/03/21,"ASOCIADO A VD","COMISARÍA 4","RÍO NEGRO"
2024/08/29,"VIOLENCIA DOMÉSTICA","COMISARÍA 21","MONTEVIDEO"
2024/04/18,"ASOCIADO A VD","COMISARÍA 3","RÍO NEGRO"
2024/05/29,"ASOCIADO A VD","COMISARÍA 5","ROCHA"
2024/09/20,"ASOCIADO A VD","COMISARÍA 1","SORIANO"
2024/07/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 6","MONTEVIDEO"
2024/10/18,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","CANELONES"
2024/10/25,"ASOCIADO A VD","COMISARÍA 6","CANELONES"
2024/01/08,"VIOLENCIA DOMÉSTICA","COMISARÍA 16","MONTEVIDEO"
2024/07/04,"VIOLENCIA DOMÉSTICA","COMISARÍA 24","MONTEVIDEO"
2024/05/01,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","DURAZNO"
2024/04/17,"VIOLENCIA DOMÉSTICA","COMISARÍA 14","MONTEVIDEO"
2024/01/05,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","CERRO LARGO"
2024/01/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 16","MONTEVIDEO"
2024/12/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","CANELONES"
2024/06/03,"ASOCIADO A VD","COMISARÍA 1","MALDONADO"
2024/10/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 24","MONTEVIDEO"
2024/03/21,"ASOCIADO A VD","COMISARÍA 12","LAVALLEJA"
2024/01/03,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","FLORES"
2024/11/14,"ASOCIADO A VD","COMISARÍA 11","MONTEVIDEO"
2024/11/29,"ASOCIADO A VD","COMISARÍA 2","CANELONES"
2024/12/03,"ASOCIADO A VD","COMISARÍA 5","PAYSANDÚ"
2024/10/16,"VIOLENCIA DOMÉSTICA","COMISARÍA 6","MONTEVIDEO"
2024/10/30,"ASOCIADO A VD","COMISARÍA 26","CANELONES"
2024/04/05,"ASOCIADO A VD","COMISARÍA 7","MONTEVIDEO"
2024/01/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 27","CANELONES"
2024/02/01,"VIOLENCIA DOMÉSTICA","COMISARÍA 28","CANELONES"
2024/12/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","RÍO NEGRO"
2024/07/14,"ASOCIADO A VD","COMISARÍA 18","MONTEVIDEO"
2024/03/18,"VIOLENCIA DOMÉSTICA","FUERA DE TERRITORIO NACIONAL","FUERA DE TERRITORIO NACIONAL"
2024/03/18,"ASOCIADO A VD","COMISARÍA 1","LAVALLEJA"
2024/06/11,"ASOCIADO A VD","COMISARÍA 20","CANELONES"
2024/05/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 19","MONTEVIDEO"
2024/05/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 20","CANELONES"
2024/01/09,"ASOCIADO A VD","COMISARÍA 1","MALDONADO"
2024/10/08,"ASOCIADO A VD","COMISARÍA 2","CANELONES"
2024/05/12,"VIOLENCIA DOMÉSTICA","COMISARÍA 5","MONTEVIDEO"
2024/02/28,"ASOCIADO A VD","COMISARÍA 10","MALDONADO"
2024/11/16,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","RÍO NEGRO"
2024/05/21,"ASOCIADO A VD","COMISARÍA 11","SORIANO"
2024/12/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","MALDONADO"
2024/12/16,"VIOLENCIA DOMÉSTICA","COMISARÍA 8","ARTIGAS"
2024/12/26,"VIOLENCIA DOMÉSTICA","COMISARÍA 7","CANELONES"
2024/09/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 9","MONTEVIDEO"
2024/08/05,"ASOCIADO A VD","COMISARÍA 11","MALDONADO"
2024/11/15,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","FLORES"
2024/02/17,"ASOCIADO A VD","COMISARÍA 24","MONTEVIDEO"
2024/02/29,"VIOLENCIA DOMÉSTICA","COMISARÍA 13","MONTEVIDEO"
